Date,Event Type,Number of Drivers,Demand,Inventory Level,Depot,Quantity Delivered,Distance from Depot (km),Number of Stations,Discounts
8/24/2023,Repair,0,33,4731450,Depot B,21,37,3,14
6/25/2023,Repair,3,48,5938509,Depot B,7,0,4,1
9/22/2023,Inspection,5,23,3650173,Depot B,77,42,1,9
9/6/2023,Inspection,4,8,4567829,Depot A,87,7,18,3
11/20/2023,Maintenance,6,34,8384373,Depot A,77,5,6,5
8/12/2023,Inspection,5,12,3639427,Depot A,72,4,13,16
8/9/2023,Maintenance,0,8,9718419,Depot A,34,83,4,1
2/26/2024,Maintenance,7,16,886547,Depot A,87,81,7,19
12/1/2023,Maintenance,6,24,5835853,Depot B,32,81,9,9
3/30/2023,Inspection,4,30,7867168,Depot A,83,52,9,9
7/5/2023,Inspection,9,44,9206457,Depot A,77,15,17,11
9/27/2023,Maintenance,8,34,9267739,Depot A,77,36,12,14
11/29/2023,Inspection,10,19,2303744,Depot B,83,71,0,8
6/22/2023,Maintenance,9,19,7067283,Depot A,84,48,14,11
3/14/2023,Inspection,1,18,2653032,Depot A,25,13,3,14
7/8/2023,Maintenance,8,43,1518358,Depot A,14,18,16,3
6/29/2023,Maintenance,10,17,6574063,Depot B,97,79,11,14
11/28/2023,Maintenance,1,19,3247280,Depot A,98,68,15,9
3/7/2023,Repair,2,0,9870318,Depot A,16,97,2,10
4/10/2023,Repair,4,18,3757839,Depot A,62,65,3,20
4/7/2023,Inspection,9,12,6891117,Depot B,70,88,14,15
1/15/2024,Repair,9,39,8291499,Depot B,16,13,11,16
1/22/2024,Inspection,10,48,781443,Depot B,1,12,20,4
6/16/2023,Inspection,7,47,7647120,Depot A,9,73,19,3
6/12/2023,Repair,0,12,161387,Depot B,7,43,20,16
10/6/2023,Maintenance,7,29,5665662,Depot B,15,60,14,2
5/17/2023,Maintenance,1,15,4510694,Depot B,74,16,12,4
4/5/2023,Inspection,0,48,6615428,Depot B,28,38,0,1
11/2/2023,Repair,7,0,7638740,Depot A,12,69,17,12
12/29/2023,Maintenance,8,42,9300989,Depot A,61,21,0,20
9/21/2023,Inspection,1,34,4238615,Depot B,84,44,11,10
4/27/2023,Maintenance,0,1,4286307,Depot A,9,93,16,16
11/18/2023,Maintenance,10,21,8484206,Depot A,91,98,2,7
1/7/2024,Repair,5,8,5886529,Depot B,0,32,6,7
5/19/2023,Maintenance,3,17,839537,Depot B,75,30,9,3
12/7/2023,Repair,9,21,4625871,Depot B,94,26,14,5
10/9/2023,Inspection,10,1,6129792,Depot B,24,6,5,0
7/4/2023,Inspection,10,21,2573707,Depot B,69,49,17,3
12/3/2023,Inspection,3,14,8840202,Depot A,89,47,7,18
5/21/2023,Repair,9,15,1838515,Depot A,9,32,14,12
11/3/2023,Maintenance,0,27,9019442,Depot B,56,64,16,0
1/6/2024,Maintenance,10,44,8626846,Depot A,69,19,6,15
5/3/2023,Repair,2,2,5097253,Depot A,27,100,7,17
4/18/2023,Inspection,3,43,4827829,Depot B,32,2,1,18
3/16/2023,Maintenance,6,6,6285986,Depot A,31,54,14,3
11/21/2023,Repair,10,39,1054263,Depot A,23,72,11,16
7/19/2023,Maintenance,10,13,4446627,Depot A,73,74,5,7
7/24/2023,Inspection,9,26,9993464,Depot A,5,4,18,12
8/17/2023,Repair,0,23,1474064,Depot A,69,35,14,4
1/9/2024,Maintenance,0,9,1704579,Depot B,16,8,11,16
1/4/2024,Inspection,9,10,9715897,Depot A,23,81,13,10
4/17/2023,Maintenance,3,37,7713324,Depot A,69,39,20,17
5/30/2023,Inspection,8,10,6609860,Depot B,37,85,8,20
2/13/2024,Maintenance,9,27,4993173,Depot B,19,96,3,13
6/25/2023,Repair,6,49,631046,Depot B,80,24,15,2
1/11/2024,Repair,8,5,5838090,Depot B,44,81,7,1
8/16/2023,Repair,0,12,5604468,Depot B,3,55,8,9
11/24/2023,Repair,9,36,2696876,Depot A,80,57,6,13
7/17/2023,Repair,7,40,520574,Depot B,88,6,18,2
1/24/2024,Repair,1,42,7925418,Depot B,84,40,20,0
4/30/2023,Maintenance,4,0,8210746,Depot A,57,74,19,0
12/8/2023,Repair,0,39,1381395,Depot B,55,72,6,0
7/14/2023,Maintenance,2,46,7289688,Depot B,13,58,8,11
10/26/2023,Inspection,2,50,1026428,Depot A,83,12,4,8
1/17/2024,Inspection,3,40,2350156,Depot A,8,21,0,13
2/12/2024,Repair,7,34,8566351,Depot A,9,40,5,15
6/27/2023,Maintenance,5,38,5170617,Depot B,77,3,1,16
9/29/2023,Repair,2,19,7020689,Depot B,23,48,7,0
9/27/2023,Repair,6,46,6823981,Depot A,56,51,15,6
2/24/2024,Maintenance,9,13,6288968,Depot B,39,70,4,17
7/19/2023,Inspection,3,42,6454837,Depot B,87,22,5,11
4/23/2023,Maintenance,4,17,6618543,Depot A,26,57,20,7
3/23/2023,Repair,10,46,743826,Depot B,50,16,18,6
7/15/2023,Maintenance,10,5,6720320,Depot B,62,100,13,2
11/4/2023,Repair,9,43,6169857,Depot A,92,54,13,16
4/9/2023,Repair,10,28,4683739,Depot B,56,95,11,5
10/18/2023,Inspection,8,39,792278,Depot A,28,31,5,6
6/7/2023,Maintenance,2,50,5687235,Depot A,45,28,10,12
2/12/2024,Inspection,7,3,419912,Depot B,49,35,20,14
1/18/2024,Repair,7,8,5391096,Depot B,94,13,15,1
3/31/2023,Repair,1,19,5974673,Depot B,5,34,5,13
8/14/2023,Inspection,1,17,3999604,Depot B,70,6,15,1
11/18/2023,Inspection,7,41,9221791,Depot B,24,58,19,4
3/28/2023,Maintenance,6,38,8026493,Depot A,84,14,12,8
5/29/2023,Inspection,7,10,8989071,Depot B,55,86,6,3
11/8/2023,Repair,10,12,9621160,Depot A,97,46,13,13
1/22/2024,Inspection,9,2,1697917,Depot A,26,51,7,0
6/15/2023,Inspection,2,31,4839093,Depot A,57,6,13,19
4/14/2023,Repair,0,25,1018606,Depot B,57,13,6,7
7/26/2023,Maintenance,2,11,6863153,Depot A,17,98,5,4
8/29/2023,Inspection,8,24,3409859,Depot B,38,41,7,4
10/31/2023,Inspection,10,6,1232648,Depot A,98,42,6,3
9/5/2023,Inspection,6,9,9278223,Depot A,53,7,3,11
2/11/2024,Repair,0,39,3988362,Depot A,37,12,3,7
8/22/2023,Inspection,6,16,1519759,Depot B,5,19,8,19
2/17/2024,Maintenance,0,36,3706425,Depot A,66,100,18,14
5/10/2023,Maintenance,7,24,2651791,Depot B,38,52,8,2
12/29/2023,Repair,6,26,5750489,Depot A,34,50,18,13
10/23/2023,Inspection,1,13,38239,Depot B,43,45,15,8
7/9/2023,Repair,6,21,5272692,Depot B,17,64,18,4
12/31/2023,Inspection,5,26,9814884,Depot A,78,48,6,11
12/21/2023,Repair,8,45,9287383,Depot B,13,49,13,17
9/24/2023,Maintenance,10,35,5817035,Depot A,25,55,3,10
12/21/2023,Repair,7,13,11687,Depot B,19,26,13,2
9/7/2023,Repair,1,1,7225191,Depot A,65,61,2,15
11/15/2023,Inspection,0,24,6915343,Depot A,10,18,11,19
1/13/2024,Maintenance,7,22,8815948,Depot B,74,63,13,20
10/11/2023,Inspection,4,30,3389366,Depot A,48,74,15,7
4/3/2023,Maintenance,4,43,5715199,Depot A,78,10,9,2
12/5/2023,Inspection,0,49,4975586,Depot A,20,81,0,0
12/8/2023,Maintenance,1,8,9333517,Depot B,89,14,0,0
11/26/2023,Maintenance,7,11,9060963,Depot A,62,80,13,3
2/17/2024,Inspection,10,18,6113349,Depot A,57,8,17,0
2/19/2024,Repair,10,42,9607125,Depot A,93,31,9,4
4/16/2023,Maintenance,4,17,2791798,Depot A,26,74,19,17
7/5/2023,Maintenance,8,4,7692310,Depot A,67,44,10,12
7/14/2023,Repair,6,17,3834070,Depot A,89,94,17,3
2/6/2024,Repair,0,30,6999301,Depot B,22,64,15,12
5/8/2023,Inspection,3,33,7514781,Depot A,1,59,16,1
6/25/2023,Repair,9,30,8400872,Depot B,55,69,4,19
11/13/2023,Inspection,0,4,7636515,Depot B,31,37,0,6
5/6/2023,Repair,4,33,2058290,Depot B,22,37,0,16
9/20/2023,Maintenance,10,27,2367540,Depot A,1,78,12,7
6/10/2023,Repair,1,35,1873549,Depot A,99,13,2,0
2/1/2024,Repair,6,38,4447702,Depot B,51,77,13,12
3/4/2023,Repair,7,32,6086985,Depot A,7,78,6,10
3/28/2023,Maintenance,5,41,8856474,Depot A,66,94,5,2
12/11/2023,Inspection,5,46,2663993,Depot B,28,16,10,17
10/12/2023,Repair,2,34,159872,Depot B,73,83,15,17
11/19/2023,Maintenance,0,24,2577739,Depot A,14,100,9,10
8/4/2023,Repair,10,17,7115819,Depot B,68,6,7,11
1/21/2024,Inspection,0,6,7667070,Depot B,88,1,4,12
7/18/2023,Repair,8,4,567629,Depot B,61,53,7,5
11/13/2023,Inspection,2,5,1188725,Depot A,65,63,3,13
12/24/2023,Repair,3,31,5432483,Depot B,88,90,9,20
2/5/2024,Inspection,3,43,7876340,Depot B,29,7,4,20
10/24/2023,Inspection,4,45,1331108,Depot A,74,90,20,13
1/7/2024,Repair,10,27,434527,Depot A,69,15,0,17
3/24/2023,Inspection,5,33,3402554,Depot B,35,16,3,13
1/19/2024,Maintenance,10,23,2426300,Depot B,28,92,11,20
6/18/2023,Maintenance,0,21,7754552,Depot B,66,67,15,11
10/29/2023,Repair,9,1,6555290,Depot B,9,90,18,13
7/28/2023,Inspection,2,50,1914628,Depot B,16,27,19,1
12/4/2023,Inspection,6,16,4751159,Depot A,2,36,9,19
9/3/2023,Repair,1,7,8599691,Depot B,52,21,11,4
5/6/2023,Maintenance,1,23,5426057,Depot A,83,42,19,5
5/24/2023,Maintenance,4,32,1325572,Depot B,94,85,18,10
6/26/2023,Repair,6,28,7714408,Depot A,27,56,8,2
4/27/2023,Repair,9,21,9883021,Depot B,18,74,13,8
2/22/2024,Repair,8,33,3522965,Depot A,99,54,2,16
10/6/2023,Repair,5,47,758559,Depot A,23,30,6,20
1/28/2024,Inspection,0,27,4481112,Depot B,61,73,12,15
2/5/2024,Repair,5,41,615855,Depot A,59,47,17,2
12/7/2023,Maintenance,9,46,5241786,Depot A,20,10,15,13
1/29/2024,Maintenance,6,31,2665742,Depot B,89,46,19,16
8/8/2023,Repair,2,39,1002461,Depot B,36,14,18,7
8/8/2023,Inspection,9,1,9342839,Depot A,11,37,7,0
10/24/2023,Maintenance,0,30,9846424,Depot B,33,16,8,18
7/26/2023,Repair,1,30,8755710,Depot B,13,39,1,18
6/2/2023,Repair,8,50,9447473,Depot A,96,88,2,19
12/25/2023,Repair,7,20,8511421,Depot B,24,90,7,2
3/23/2023,Inspection,5,34,6140449,Depot B,58,6,12,11
12/21/2023,Repair,4,47,2529349,Depot B,37,46,0,5
4/30/2023,Inspection,4,8,5244524,Depot A,92,72,0,2
5/24/2023,Inspection,1,13,1078024,Depot B,38,27,6,13
9/30/2023,Repair,7,41,7895888,Depot A,78,71,19,20
1/22/2024,Repair,2,35,1239174,Depot B,35,53,3,17
3/5/2023,Maintenance,10,48,5215421,Depot B,16,67,14,7
10/31/2023,Maintenance,9,13,5387778,Depot B,58,64,13,2
6/22/2023,Inspection,6,14,2424526,Depot A,73,38,16,15
6/10/2023,Maintenance,6,41,4813649,Depot A,91,39,5,15
8/7/2023,Maintenance,5,37,1144909,Depot B,27,44,11,18
10/20/2023,Maintenance,4,47,6770687,Depot A,3,88,6,1
6/25/2023,Inspection,1,0,8638981,Depot B,11,88,9,9
6/26/2023,Repair,0,7,6075917,Depot A,23,34,13,7
5/28/2023,Repair,8,38,6380902,Depot A,5,58,4,1
8/11/2023,Inspection,9,2,777339,Depot B,90,53,3,11
7/22/2023,Inspection,1,9,6067129,Depot A,59,37,18,19
1/17/2024,Repair,9,27,1509942,Depot A,59,21,19,16
7/18/2023,Maintenance,1,19,7433311,Depot B,81,39,1,10
1/31/2024,Maintenance,2,49,9937248,Depot A,98,23,3,13
9/24/2023,Maintenance,3,3,8249100,Depot A,62,37,17,12
8/28/2023,Inspection,3,43,5923148,Depot B,32,67,10,5
9/23/2023,Maintenance,2,39,1240906,Depot A,6,2,6,0
3/14/2023,Repair,2,34,9122641,Depot B,44,86,10,4
9/5/2023,Maintenance,6,22,4064191,Depot B,57,61,11,4
4/7/2023,Repair,0,20,6131732,Depot A,51,67,5,1
6/29/2023,Maintenance,10,44,6379908,Depot A,17,26,9,11
1/3/2024,Inspection,3,14,3897578,Depot A,46,26,5,2
2/11/2024,Maintenance,1,12,3947251,Depot B,34,14,3,19
6/21/2023,Inspection,10,30,5604771,Depot A,39,7,13,3
11/2/2023,Inspection,8,10,5329997,Depot A,62,77,19,15
7/22/2023,Inspection,3,32,3251637,Depot A,12,74,9,20
1/13/2024,Maintenance,0,34,4563566,Depot B,78,66,4,8
6/7/2023,Inspection,6,39,614065,Depot A,54,63,2,17
8/8/2023,Inspection,2,33,2632084,Depot A,18,84,18,9
6/12/2023,Repair,4,2,3285681,Depot A,26,46,15,17
9/30/2023,Maintenance,5,41,6268571,Depot A,51,15,9,10
2/1/2024,Maintenance,7,45,3327691,Depot B,25,46,5,6
3/26/2023,Inspection,2,16,7418866,Depot A,74,9,20,19
9/1/2023,Repair,8,10,9661447,Depot B,7,37,6,16
5/31/2023,Repair,9,49,365509,Depot A,67,79,6,9
7/20/2023,Maintenance,8,25,4046531,Depot B,87,71,14,9
10/18/2023,Maintenance,2,11,6634003,Depot A,12,9,16,1
1/29/2024,Maintenance,6,16,6901777,Depot A,13,27,17,17
12/8/2023,Maintenance,6,40,2767312,Depot B,29,27,0,17
3/28/2023,Inspection,3,39,4632496,Depot A,53,32,14,16
3/6/2023,Maintenance,6,9,1627006,Depot A,34,38,0,0
5/26/2023,Repair,1,31,7078377,Depot A,33,97,2,12
8/5/2023,Inspection,7,40,765512,Depot A,16,30,14,12
1/26/2024,Inspection,2,10,1112601,Depot B,76,88,6,7
2/4/2024,Inspection,4,14,9921554,Depot A,80,73,12,8
5/11/2023,Inspection,0,22,7824117,Depot B,80,25,8,11
3/22/2023,Inspection,0,26,830770,Depot B,63,43,18,4
4/15/2023,Maintenance,4,35,1201695,Depot A,45,25,0,11
7/20/2023,Inspection,5,22,653586,Depot A,21,15,17,12
10/20/2023,Maintenance,1,29,1204325,Depot A,39,18,15,17
3/7/2023,Inspection,1,4,5250741,Depot A,25,64,0,16
6/17/2023,Inspection,2,41,9612489,Depot A,9,44,7,10
5/10/2023,Inspection,10,2,6949214,Depot A,63,100,14,19
8/23/2023,Repair,3,14,1501654,Depot A,22,80,0,0
7/26/2023,Maintenance,10,16,593368,Depot B,77,8,8,6
4/6/2023,Repair,4,48,2245796,Depot A,32,92,14,11
12/23/2023,Inspection,7,20,9825329,Depot A,7,100,4,13
4/3/2023,Inspection,4,23,9489534,Depot B,41,50,15,7
9/6/2023,Inspection,7,8,2315315,Depot B,46,51,19,11
9/8/2023,Maintenance,9,38,6311203,Depot A,84,94,18,18
6/8/2023,Inspection,0,18,3225597,Depot A,3,11,16,17
7/7/2023,Maintenance,6,27,5970019,Depot B,63,31,7,19
7/23/2023,Maintenance,6,40,6168557,Depot B,41,9,16,16
8/12/2023,Inspection,6,41,5414830,Depot B,79,59,7,12
12/22/2023,Maintenance,2,45,2681286,Depot B,60,77,12,6
11/21/2023,Inspection,10,3,5467315,Depot A,13,16,1,2
2/10/2024,Inspection,2,0,7148970,Depot B,41,8,19,17
5/9/2023,Inspection,8,23,486140,Depot A,34,67,11,8
8/27/2023,Repair,3,18,5830225,Depot B,17,13,20,4
12/9/2023,Inspection,2,0,4239735,Depot A,54,77,18,17
3/17/2023,Maintenance,0,39,2326709,Depot B,61,6,17,1
1/29/2024,Maintenance,1,47,2450500,Depot B,94,69,20,4
8/28/2023,Repair,9,49,7892921,Depot A,56,10,20,20
10/4/2023,Inspection,6,50,6799884,Depot A,100,100,5,12
12/6/2023,Maintenance,2,22,8402379,Depot A,89,3,6,7
3/24/2023,Maintenance,0,15,4380166,Depot A,39,90,17,0
2/1/2024,Inspection,7,8,4981428,Depot A,81,67,8,7
5/21/2023,Inspection,2,19,3571188,Depot A,29,80,14,10
10/5/2023,Repair,1,35,3078288,Depot B,63,23,11,16
9/7/2023,Inspection,10,39,4532859,Depot A,93,6,9,16
3/10/2023,Maintenance,8,39,9531798,Depot B,22,32,0,9
8/20/2023,Inspection,3,21,1710185,Depot A,41,66,16,18
6/16/2023,Inspection,7,33,8076444,Depot A,55,91,17,2
2/6/2024,Inspection,2,30,5682007,Depot A,24,93,9,4
1/8/2024,Repair,4,44,9165838,Depot B,89,87,9,14
5/11/2023,Repair,1,50,212676,Depot B,46,48,16,7
7/23/2023,Repair,7,3,7160337,Depot B,51,65,0,1
8/29/2023,Maintenance,7,5,1286967,Depot B,84,92,10,20
8/15/2023,Maintenance,6,1,1397318,Depot B,71,17,1,10
6/3/2023,Repair,1,20,4456121,Depot B,35,37,9,3
9/18/2023,Repair,2,16,4890798,Depot B,32,65,10,6
6/2/2023,Inspection,8,38,9311113,Depot A,33,32,12,12
2/14/2024,Repair,7,44,660663,Depot A,83,88,11,20
8/17/2023,Maintenance,5,4,1613858,Depot A,13,65,7,8
2/26/2024,Maintenance,10,16,7998898,Depot A,97,84,7,7
10/26/2023,Inspection,6,2,4169923,Depot B,1,37,9,10
2/6/2024,Inspection,4,45,2195548,Depot A,27,94,0,12
11/11/2023,Maintenance,0,40,7914313,Depot B,84,6,4,3
9/4/2023,Maintenance,2,27,2674787,Depot A,49,9,2,19
4/22/2023,Repair,3,32,5277668,Depot B,73,13,10,13
4/25/2023,Inspection,4,15,9735821,Depot A,84,9,12,7
6/21/2023,Repair,3,15,3086068,Depot A,74,46,0,3
4/4/2023,Repair,9,48,783231,Depot A,70,37,20,9
12/24/2023,Maintenance,7,33,4362081,Depot A,51,85,14,11
8/20/2023,Inspection,3,38,2459137,Depot B,80,4,15,10
8/20/2023,Maintenance,5,33,3298910,Depot B,67,45,16,10
6/8/2023,Inspection,2,38,6274121,Depot B,36,35,5,2
12/5/2023,Inspection,4,19,3956708,Depot B,13,70,7,12
12/27/2023,Maintenance,1,45,5996588,Depot B,58,63,2,9
10/9/2023,Repair,8,33,6873496,Depot A,93,37,1,11
1/7/2024,Repair,7,34,3429729,Depot A,46,64,6,11
6/24/2023,Inspection,2,23,9404331,Depot A,27,14,4,17
5/5/2023,Repair,2,0,2943244,Depot A,14,71,3,17
4/18/2023,Maintenance,2,2,7256246,Depot B,88,86,5,12
3/29/2023,Inspection,4,42,7488223,Depot A,0,32,17,9
4/5/2023,Repair,3,2,6640885,Depot A,93,5,0,7
9/29/2023,Repair,9,7,2016526,Depot A,67,90,10,19
6/7/2023,Repair,8,7,5796918,Depot A,85,76,18,19
2/5/2024,Maintenance,4,4,1086347,Depot B,14,52,6,17
10/2/2023,Repair,2,50,7281732,Depot A,69,57,13,15
5/28/2023,Inspection,5,26,1124627,Depot A,6,28,1,0
6/20/2023,Inspection,0,32,8823942,Depot A,4,5,12,15
4/1/2023,Inspection,0,46,6406782,Depot B,25,25,5,13
11/26/2023,Repair,9,18,7906351,Depot A,50,2,15,16
5/14/2023,Inspection,9,49,3717198,Depot A,8,20,10,3
11/28/2023,Maintenance,3,50,4867608,Depot B,63,80,20,5
10/9/2023,Maintenance,8,44,4834955,Depot B,94,46,4,1
1/9/2024,Maintenance,3,18,175137,Depot A,68,90,1,9
2/2/2024,Inspection,6,45,9011153,Depot B,70,57,17,9
7/27/2023,Inspection,6,19,9994848,Depot A,72,33,10,9
1/10/2024,Maintenance,4,23,5789077,Depot A,11,12,16,20
6/20/2023,Repair,9,31,924378,Depot A,42,12,19,10
1/9/2024,Maintenance,1,13,4249493,Depot A,56,7,5,13
12/14/2023,Repair,0,17,6008997,Depot A,55,61,18,16
9/5/2023,Maintenance,7,15,3486422,Depot B,49,66,20,12
12/16/2023,Maintenance,1,34,8270135,Depot B,7,68,6,3
8/9/2023,Inspection,9,15,7303436,Depot B,10,77,20,5
9/27/2023,Inspection,10,18,6339410,Depot B,93,40,11,4
10/27/2023,Inspection,4,34,3631613,Depot B,58,38,2,5
11/1/2023,Inspection,4,39,9321221,Depot A,53,81,6,18
9/24/2023,Maintenance,6,49,4821955,Depot B,0,1,18,16
11/13/2023,Maintenance,6,41,6960708,Depot B,76,8,19,11
8/6/2023,Repair,7,2,4568055,Depot B,100,9,0,17
1/26/2024,Maintenance,5,2,435217,Depot B,40,82,14,17
3/11/2023,Maintenance,7,2,8041399,Depot A,56,51,12,10
3/2/2023,Repair,7,42,4297706,Depot B,89,45,7,13
4/13/2023,Inspection,1,16,3947400,Depot A,38,21,8,1
2/9/2024,Repair,8,40,3299703,Depot A,24,26,7,2
8/4/2023,Inspection,9,30,2236601,Depot A,40,52,20,15
1/3/2024,Maintenance,7,37,5658208,Depot A,96,26,1,4
9/18/2023,Repair,8,2,1485579,Depot A,85,3,20,5
12/26/2023,Maintenance,6,39,7015876,Depot A,17,10,7,10
12/28/2023,Inspection,6,21,4771614,Depot B,4,12,8,10
7/17/2023,Maintenance,4,12,7101227,Depot B,80,55,3,10
1/4/2024,Maintenance,4,45,9984572,Depot A,39,48,13,13
4/16/2023,Maintenance,6,36,9316950,Depot A,95,76,15,11
5/12/2023,Maintenance,4,19,9857416,Depot B,22,80,13,14
6/17/2023,Repair,9,22,7480051,Depot A,14,46,15,5
11/4/2023,Maintenance,3,4,8533116,Depot B,53,60,19,0
11/13/2023,Maintenance,1,46,6437009,Depot A,4,45,4,5
4/29/2023,Repair,0,24,3044711,Depot A,38,67,0,2
7/13/2023,Inspection,5,10,2121582,Depot B,14,32,8,19
3/28/2023,Repair,0,7,2057534,Depot A,0,1,13,16
3/10/2023,Inspection,2,38,6748282,Depot A,17,74,17,7
5/16/2023,Maintenance,1,1,4326895,Depot B,78,60,17,2
2/8/2024,Inspection,4,18,9222594,Depot A,94,91,4,7
2/3/2024,Maintenance,0,4,8111870,Depot B,5,28,11,9
8/15/2023,Inspection,2,43,5040828,Depot B,92,40,16,11
4/10/2023,Maintenance,0,4,7360581,Depot B,67,77,11,8
6/13/2023,Inspection,3,25,2582869,Depot A,27,83,1,17
6/29/2023,Inspection,1,31,1994276,Depot B,15,99,5,3
10/14/2023,Repair,5,41,2747721,Depot B,75,66,15,19
2/4/2024,Maintenance,5,12,5566465,Depot A,44,88,20,12
6/28/2023,Repair,6,30,1925402,Depot B,97,78,15,9
5/16/2023,Maintenance,1,27,1097870,Depot A,79,50,14,6
8/25/2023,Inspection,5,18,8224368,Depot A,99,76,7,11
2/14/2024,Repair,2,27,6832009,Depot A,57,4,2,16
9/22/2023,Inspection,10,5,2112420,Depot A,28,70,6,12
2/3/2024,Maintenance,9,31,9440610,Depot A,37,76,16,1
11/25/2023,Inspection,0,17,4344772,Depot B,88,17,19,4
6/23/2023,Maintenance,4,17,2528588,Depot B,51,4,11,17
2/20/2024,Inspection,8,7,2472953,Depot B,22,8,9,6
5/28/2023,Repair,8,36,1980891,Depot A,78,11,2,12
7/11/2023,Repair,8,3,1389428,Depot B,50,66,9,3
10/3/2023,Maintenance,4,18,2590741,Depot A,52,45,10,19
4/3/2023,Maintenance,10,44,628988,Depot A,76,69,20,5
9/28/2023,Maintenance,3,10,9558047,Depot A,14,37,20,3
2/16/2024,Repair,0,26,9846805,Depot B,5,88,11,4
3/1/2023,Maintenance,0,16,7419697,Depot B,77,3,7,2
3/5/2023,Maintenance,3,43,5088260,Depot B,89,48,6,16
8/5/2023,Inspection,7,22,1554151,Depot A,11,53,19,14
9/20/2023,Maintenance,4,32,5598079,Depot B,31,62,11,5
3/28/2023,Maintenance,3,38,9176047,Depot B,70,22,4,11
4/15/2023,Repair,6,42,4175744,Depot B,2,86,11,5
6/10/2023,Repair,10,6,9657855,Depot B,83,68,8,9
5/16/2023,Inspection,8,42,5377483,Depot A,66,11,7,1
10/12/2023,Repair,9,33,9324269,Depot A,63,17,4,11
10/17/2023,Maintenance,8,9,5114265,Depot A,100,30,9,8
9/27/2023,Repair,5,40,156436,Depot B,32,73,5,18
2/9/2024,Repair,6,49,4119173,Depot A,59,59,14,1
1/16/2024,Maintenance,8,13,5475586,Depot A,66,27,3,8
5/11/2023,Inspection,8,14,5994991,Depot A,63,20,3,18
1/25/2024,Maintenance,1,1,9605763,Depot A,16,23,19,12
1/11/2024,Inspection,5,23,9782974,Depot A,4,5,18,9
12/14/2023,Maintenance,5,25,1117154,Depot B,21,100,13,12
5/13/2023,Maintenance,1,20,8853062,Depot B,95,16,13,15
5/30/2023,Repair,2,38,1879072,Depot A,82,40,0,6
2/17/2024,Repair,3,34,9279023,Depot B,99,8,20,4
3/18/2023,Maintenance,10,49,3212980,Depot B,23,13,14,5
4/10/2023,Inspection,3,10,700369,Depot B,43,3,16,19
4/30/2023,Maintenance,5,10,2573151,Depot B,66,25,11,1
6/29/2023,Inspection,10,42,6370215,Depot B,79,85,19,18
7/22/2023,Repair,5,46,9551118,Depot A,40,30,2,10
6/3/2023,Maintenance,4,8,9434142,Depot A,14,79,20,7
5/1/2023,Inspection,10,1,2427960,Depot A,75,20,15,14
6/3/2023,Repair,6,17,6382533,Depot B,40,1,14,2
5/17/2023,Repair,2,41,1029816,Depot B,26,97,5,13
8/19/2023,Maintenance,4,19,5325266,Depot A,63,38,6,12
